NU_ANO,NT_GER,NT_FG,NT_CE_D1,NT_CE_D2,NT_CE_D3
2021,0.3,1,0,0,0
2021,0.8,3,0,0,0
2021,0.8,0,20,0,0
2021,0.9,3.6,0,0,0
2021,1,1,0,20,0
2021,1,1.4,0,15,0
2021,1.3,5.2,0,0,0
2021,1.3,3.6,10,0,0
2021,1.3,5.2,0,0,0
2021,1.4,3.2,0,15,0
2021,1.4,4,0,0,10
2021,1.4,5.4,0,0,0
2021,1.5,3.4,15,0,0
2021,1.7,6.8,0,0,0
2021,1.7,0,0,45,0
2021,1.7,3.6,0,20,0
2021,1.7,6.6,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.4,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.5,0,0,0
2021,1.9,7.6,0,0,0
2021,2,7.8,0,0,0
2021,2,7.8,0,0,0
2021,2,2,30,10,0
2021,2,6.4,10,0,0
2021,2.1,8.4,0,0,0
2021,2.1,8.4,0,0,0
2021,2.3,9.2,0,0,0
2021,2.3,0,0,0,0
2021,2.3,9.1,0,0,0
2021,2.4,9.5,0,0,0
2021,2.4,9.4,0,0,0
2021,2.5,7.5,0,15,0
2021,2.5,10.1,0,0,0
2021,2.5,0,20,45,0
2021,2.5,8.5,0,0,10
2021,2.5,9.8,0,0,0
2021,2.5,8.4,10,0,0
2021,2.5,7.5,0,0,15
2021,2.5,7.5,10,5,0
2021,2.6,8.9,10,0,0
2021,2.6,7.5,0,0,20
2021,2.6,0,40,10,20
2021,2.7,10.6,0,0,0
2021,2.7,10.6,0,0,0
2021,2.8,0,0,0,0
2021,2.8,11.1,0,0,0
2021,2.8,0,0,0,0
2021,2.8,0,0,0,0
2021,2.8,11.1,0,0,0
2021,2.8,9.5,0,0,10
2021,2.8,0,0,0,0
2021,2.8,2.2,60,0,0
2021,2.8,0,0,0,0
2021,2.8,0,0,0,0
2021,2.8,0,0,0,0
2021,2.8,0,0,0,0
2021,2.8,0,0,0,0
2021,2.9,11.5,0,0,0
2021,2.9,6.2,30,5,0
2021,3,4.6,0,50,0
2021,3,12.1,0,0,0
2021,3,11.9,0,0,0
2021,3.1,0,0,0,0
2021,3.1,2,0,0,0
2021,3.1,12.4,0,0,0
2021,3.1,1.4,0,0,0
2021,3.1,0,0,0,0
2021,3.1,9.2,0,20,0
2021,3.1,12.5,0,0,0
2021,3.2,1.6,0,0,0
2021,3.2,0,0,0,0
2021,3.2,12.9,0,0,0
2021,3.2,12.6,0,0,0
2021,3.3,1.4,0,5,0
2021,3.3,9.4,25,0,0
2021,3.3,8.5,0,15,15
2021,3.3,0,10,5,0
2021,3.4,0,0,0,0
2021,3.4,0,0,0,0
2021,3.4,0,0,0,0
2021,3.4,6.2,20,0,30
2021,3.4,0,0,0,0
2021,3.4,1.4,0,0,0
2021,3.4,0,0,0,0
2021,3.4,11,0,15,0
2021,3.4,0,0,0,0
2021,3.4,0,0,0,0
2021,3.4,0,0,0,0
2021,3.4,0,0,0,0
2021,3.4,2.6,0,0,0
2021,3.4,0,0,0,0
2021,3.4,0,0,0,0
2021,3.4,0,0,0,0
2021,3.4,6.6,25,15,5
2021,3.4,0,0,0,0
2021,3.5,14,0,0,0
2021,3.6,2.2,0,0,0
2021,3.6,14.4,0,0,0
2021,3.6,2,0,0,0
2021,3.6,1,0,0,0
2021,3.6,14.3,0,0,0
2021,3.7,11,0,0,25
2021,3.7,4.2,20,0,50
2021,3.7,0,25,0,0
2021,3.7,10.1,0,30,0
2021,3.8,15,0,0,0
2021,3.8,15,0,0,0
2021,3.8,15,0,0,0
2021,3.8,15,0,0,0
2021,3.8,7.6,30,20,0
