NU_ANO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MODALIDADE;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO;NU_ANO;NT_GER;NT_FG;NT_CE_D1;NT_CE_D2;NT_CE_D3;TP_SEXO;NU_IDADE;QE_I01;QE_I02;QE_I04;QE_I05;QE_I08;QE_I10;QE_I11;QE_I14;QE_I15;QE_I23;QE_I25;QE_I26
2021;25;25352;1;10028;2402;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;A;B;B;A;A;A;A;A;A;A;A
2021;25;25352;1;10028;2402;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;A;B;B;A;A;A;A;A;A;A;A
2021;25;25352;1;10028;2402;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;A;B;B;A;A;A;A;A;B;A;A
2021;25;25352;1;10028;2402;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;A;B;B;A;A;A;A;A;B;A;A
2021;25;25352;1;10028;2402;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;A;B;B;A;A;A;A;A;B;C;A
2021;25;25352;1;10028;2402;1;5107602;51;5;2021;0;0;0;0;0;F;19;A;A;B;B;A;A;A;A;A;B;C;A
2021;25;25352;1;10028;2402;1;5107602;51;5;2021;0;0;0;0;0;F;19;A;A;B;B;A;A;A;A;A;B;C;A
2021;25;25352;1;10028;2402;1;5107602;51;5;2021;0;0;0;0;0;F;19;A;A;B;C;B;A;A;A;A;B;E;A
2021;25;25352;1;10028;2402;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;B;B;C;B;A;A;A;A;B;E;A
2021;25;25352;1;10028;2402;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;B;B;C;B;A;A;A;A;B;E;A
2021;25;25352;1;10028;2402;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;B;B;D;B;A;A;A;A;B;E;A
2021;25;25352;1;10028;2402;1;5107602;51;5;2021;0;0;0;0;0;F;19;A;B;B;D;B;B;A;A;A;C;G;A
2021;25;25352;1;10028;2402;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;B;C;D;B;B;A;A;A;C;H;E
2021;25;25352;1;10028;2402;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;D;C;D;B;C;A;A;A;C;H;F
2021;25;25352;1;10028;2402;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;D;D;D;B;C;A;A;B;C;H;F
2021;25;25352;1;10028;2402;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;D;D;D;B;C;A;A;B;C;H;F
2021;26;1;1;10028;702;1;5103403;51;5;2021;0;0;0;0;0;F;19;A;A;A;A;A;A;A;A;A;A;A;A
2021;26;1;1;10028;702;1;5103403;51;5;2021;0;0;0;0;0;F;19;A;A;B;B;A;A;A;A;A;A;A;A
2021;26;1;1;10028;702;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;B;B;A;A;A;A;A;A;D;A
2021;26;1;1;10028;702;1;5103403;51;5;2021;0;0;0;0;0;F;19;A;A;B;B;A;A;A;A;A;B;E;A
2021;27;1;1;10028;1402;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;A;B;A;A;A;A;A;B;A;A
2021;27;1;1;10028;1402;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;B;C;A;A;A;A;A;C;C;A
2021;27;1;1;10028;1402;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;B;B;D;A;A;A;A;A;C;E;A
2021;27;1;1;10028;1402;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;B;C;D;B;A;A;A;A;C;E;A
2021;29;1;1;10028;1602;1;5103403;51;5;2021;0;0;0;0;0;F;19;A;A;A;B;A;A;A;A;A;A;A;A
2021;29;1;1;10028;1602;1;5103403;51;5;2021;0;0;0;0;0;F;19;A;A;A;B;A;A;A;A;A;B;A;A
2021;29;1;1;10028;1602;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;B;B;A;A;A;A;A;B;A;A
2021;29;1;1;10028;1602;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;B;C;A;A;A;A;A;B;B;A
2021;29;1;1;10028;1602;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;B;C;A;A;A;A;A;B;B;A
2021;29;1;1;10028;1602;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;B;D;A;A;A;A;A;B;B;A
2021;29;1;1;10028;1602;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;B;D;A;A;A;A;A;B;C;A
2021;29;1;1;10028;1602;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;C;D;A;A;A;A;A;B;C;A
2021;29;1;1;10028;1602;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;C;D;A;A;A;A;A;C;D;A
2021;29;1;1;10028;1602;1;5103403;51;5;2021;0;0;0;0;0;F;19;A;A;C;D;A;A;A;A;A;C;D;A
2021;29;1;1;10028;1602;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;C;D;A;A;A;A;A;C;E;A
2021;29;1;1;10028;1602;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;D;D;A;A;A;A;A;C;E;A
2021;29;1;1;10028;1602;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;D;D;A;A;A;A;A;C;E;A
2021;29;1;1;10028;1602;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;D;D;A;A;A;A;B;C;E;A
2021;29;1;1;10028;1602;1;5103403;51;5;2021;0;0;0;0;0;F;19;A;A;D;D;A;A;A;A;C;C;E;A
2021;29;1;1;10028;1602;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;B;D;D;A;A;A;A;C;C;E;C
2021;29;1;1;10028;1602;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;B;D;D;A;A;A;A;D;C;E;C
2021;32;25352;1;10028;1602;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;A;A;A;A;A;A;A;A;A;A;A
2021;32;25352;1;10028;1602;1;5107602;51;5;2021;0;0;0;0;0;F;19;A;A;B;B;A;A;A;A;A;B;A;A
