NU_ANO,CO_CURSO,TP_SEXO
2021,150,M
2021,150,M
2021,150,M
2021,150,M
2021,150,M
2021,150,M
2021,150,M
2021,150,M
2021,150,M
2021,150,M
2021,150,M
2021,150,M
2021,150,M
2021,150,M
2021,150,M
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,F
2021,151,M
2021,151,M
2021,151,M
2021,151,M
2021,151,M
2021,151,M
2021,151,M
2021,151,M
2021,151,M
2021,151,M
2021,151,M
2021,151,M
2021,151,M
2021,151,M
2021,151,M
2021,151,M
2021,151,M
2021,151,M
2021,158,F
2021,158,F
2021,158,F
2021,158,F
2021,158,F
2021,158,F
2021,158,F
2021,158,F
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,158,M
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,F
2021,159,M
2021,159,M
2021,159,M
2021,159,M
2021,159,M
2021,159,M
2021,159,M
2021,159,M
2021,159,M
2021,159,M
2021,159,M
2021,159,M
2021,159,M
2021,159,M
2021,159,M
2021,159,M
2021,159,M
2021,159,M
2021,159,M
2021,159,M
2021,159,M
2021,159,M
