NU_ANO,CO_CURSO,NU_IDADE
2021,1348195,19
2021,113829,19
2021,113829,19
2021,1160946,19
2021,123539,19
2021,123549,19
2021,1156021,19
2021,1155933,19
2021,103257,19
2021,98301,19
2021,1194058,19
2021,1155933,19
2021,86782,19
2021,123526,19
2021,1160946,19
2021,76937,19
2021,67380,19
2021,1180799,19
2021,86782,19
2021,114346,19
2021,1286800,19
2021,100305,19
2021,55542,19
2021,111090,19
2021,113025,19
2021,1001938,19
2021,1204643,19
2021,45102,19
2021,113829,19
2021,86782,19
2021,1333079,19
2021,1315060,19
2021,1457379,19
2021,38863,19
2021,1001938,19
2021,123523,19
2021,1180799,19
2021,1204643,19
2021,123523,19
2021,1258848,19
2021,1521874,19
2021,123549,19
2021,75288,19
2021,1180799,19
2021,113829,19
2021,123523,19
2021,5000456,19
2021,1146536,19
2021,5001328,19
2021,1134850,19
2021,123526,19
2021,5000457,19
2021,123541,19
2021,113829,19
2021,1258844,19
2021,1180789,19
2021,71514,19
2021,52007,19
2021,52007,19
2021,72065,19
2021,1159447,19
2021,52007,19
2021,107380,19
2021,1330710,19
2021,89380,19
2021,89380,19
2021,123523,19
2021,105191,19
2021,89380,19
2021,1308132,19
2021,67380,19
2021,1131979,19
2021,5000454,19
2021,123541,19
2021,65955,19
2021,20525,19
2021,123545,19
2021,89380,19
2021,58360,19
2021,1155933,19
2021,1286800,19
2021,1458241,19
2021,1166126,19
2021,1259052,19
2021,87280,19
2021,1322945,19
2021,89380,19
2021,5000454,19
2021,1258848,19
2021,86782,19
2021,96655,19
2021,1204643,19
2021,114097,19
2021,123537,19
2021,86782,19
2021,1525885,19
2021,111090,19
2021,1177465,19
2021,1214120,19
2021,123545,19
2021,1155933,19
2021,71514,19
2021,1286800,19
2021,123539,19
2021,113829,19
2021,100305,19
2021,87280,19
2021,97346,19
2021,1156021,19
2021,77098,19
2021,52007,19
2021,89380,19
2021,113829,19
2021,1521879,19
2021,1292570,19
2021,1204643,19
2021,1454405,19
2021,1427577,19
2021,123526,19
2021,1160946,19
2021,114178,19
2021,123537,19
2021,1180799,19
2021,1286800,19
2021,105644,19
2021,1497553,19
2021,1382777,19
2021,1327343,19
2021,1402587,19
2021,100305,19
2021,5000454,19
2021,5000008,19
2021,89380,19
2021,123526,19
2021,76951,19
2021,1454405,19
2021,86782,19
2021,105158,19
2021,71514,19
2021,1382777,19
2021,94994,19
2021,97346,19
2021,1204842,19
2021,113829,19
2021,67380,19
2021,1180799,19
2021,1205876,19
2021,1205876,19
2021,100305,19
2021,97346,19
2021,97346,19
2021,123539,19
2021,19830,19
2021,123545,19
2021,89002,19
2021,70395,19
2021,123526,19
2021,77098,19
2021,65740,19
2021,71514,19
2021,1427577,19
2021,1427632,19
2021,87148,19
2021,89380,19
2021,89380,19
2021,1368761,19
2021,114346,19
2021,87280,19
2021,105158,19
2021,97346,19
2021,123537,19
2021,1155933,19
2021,71514,19
2021,1134850,19
2021,77098,19
2021,52007,19
2021,1205437,19
2021,89380,19
2021,5000454,19
2021,123545,19
2021,76851,19
2021,87280,19
2021,1521925,19
2021,1427749,19
2021,80542,19
2021,97346,19
2021,113829,19
2021,123523,19
2021,123537,19
2021,1180799,19
2021,52007,19
2021,1286800,19
2021,1135068,19
2021,89380,19
2021,123545,19
2021,123537,19
2021,75288,19
2021,87280,19
2021,102176,19
2021,32799,19
2021,70395,19
2021,114097,19
2021,102869,19
2021,114097,19
2021,114178,19
2021,76951,19
2021,1155933,19
2021,1286800,19
2021,100305,19
2021,1001938,19
2021,1186073,19
2021,89380,19
2021,89380,19
2021,123539,19
2021,1364335,19
2021,97346,19
2021,80542,19
2021,1474142,19
2021,89380,19
2021,1521879,19
2021,1160946,19
2021,1268545,19
2021,1258528,19
2021,1258538,19
2021,113829,19
2021,1156021,19
2021,1348195,19
2021,1160099,19
2021,123541,19
2021,1258844,19
2021,77098,19
2021,1180799,19
2021,1321318,19
2021,1300006,19
2021,52007,19
2021,107383,19
2021,112052,19
2021,89380,19
2021,58360,19
2021,123523,19
2021,1209155,19
2021,75203,19
2021,111090,19
2021,89380,19
2021,1180605,19
2021,48895,19
2021,110172,19
2021,65687,19
2021,89380,19
2021,89380,19
2021,1001938,19
2021,113829,19
2021,123523,19
2021,1258848,19
2021,52007,19
2021,100305,19
2021,1268566,19
2021,113829,19
2021,1180799,19
2021,1131979,19
2021,89380,19
2021,1298977,19
2021,37295,19
2021,1260543,19
2021,97346,19
2021,114178,19
2021,1454405,19
2021,31221,19
2021,1382777,19
2021,103338,19
2021,102869,19
2021,1348195,19
2021,1521874,19
2021,52007,19
2021,100305,19
2021,112056,19
2021,123526,19
2021,1119473,19
2021,100305,19
2021,9470,19
2021,1204643,19
2021,1454405,19
2021,1205470,19
2021,1258848,19
2021,1180605,19
2021,1155933,19
2021,1427577,19
2021,1286800,19
2021,58360,19
2021,1204643,19
2021,1180799,19
2021,1265877,19
2021,1131979,19
2021,103338,19
2021,123537,19
2021,55542,19
2021,1265877,19
2021,97346,19
2021,1001938,19
2021,1285868,19
2021,1144777,19
2021,87280,19
2021,1485428,19
2021,123549,19
2021,1103759,19
2021,58360,19
2021,123523,19
2021,71514,19
2021,1286097,19
2021,1286800,19
2021,1137223,19
2021,1155933,19
2021,1188193,19
2021,1332852,19
2021,68773,19
2021,37291,19
2021,1496374,19
2021,71514,19
2021,1330719,19
2021,1001938,19
2021,123549,19
2021,111090,19
2021,1146775,19
2021,1257521,19
2021,114178,19
2021,100305,19
2021,1286531,19
2021,89380,19
2021,1458085,19
2021,5000454,19
2021,100305,19
2021,87280,19
2021,89380,19
2021,97346,19
2021,1258844,19
2021,1155933,19
2021,100305,19
2021,1323000,19
2021,89380,19
2021,1363505,19
2021,1001938,19
2021,97253,19
2021,1279605,19
2021,1180796,19
2021,1454405,19
2021,39076,19
2021,5001328,19
2021,1134850,19
2021,89380,19
2021,1131979,19
2021,1205876,19
2021,1258538,19
2021,1521925,19
2021,1186073,19
2021,79669,19
2021,1258528,19
2021,1001938,19
2021,1427577,19
2021,5000454,19
2021,15402,19
2021,65955,19
2021,74649,19
2021,100305,19
2021,107836,19
2021,97780,19
2021,87280,19
2021,1001938,19
2021,1001938,19
2021,1348195,19
2021,1286800,19
2021,89380,19
2021,5000457,19
2021,1104698,19
2021,1402587,19
2021,1180799,19
2021,18694,19
2021,60266,19
2021,77134,19
2021,1404804,19
2021,89380,19
2021,96655,19
2021,1131979,19
2021,1457379,19
2021,1286800,19
2021,89380,19
2021,123530,19
2021,58360,19
2021,77134,19
2021,1349715,19
2021,113829,19
2021,113829,19
2021,1286800,19
2021,5000350,19
2021,1001938,19
2021,58180,19
2021,24498,19
2021,1155933,19
2021,1382777,19
2021,59991,19
2021,1131979,19
2021,65740,19
2021,100305,19
2021,1134850,19
2021,89380,19
2021,1204643,19
2021,1180789,19
2021,81328,19
2021,1431918,19
2021,76937,19
2021,123537,19
2021,1388165,19
2021,1180605,19
2021,71514,19
2021,52007,19
2021,86782,19
2021,1177465,19
2021,58360,19
2021,87280,19
2021,114097,19
2021,123537,19
2021,1177589,19
2021,1261584,19
2021,1521925,19
2021,1131979,19
2021,1137223,19
2021,60040,19
2021,1268023,19
2021,89380,19
2021,1001938,19
2021,1457379,19
2021,119964,19
2021,111090,19
2021,59412,19
2021,113829,19
2021,1204643,19
2021,103338,19
2021,1327343,19
2021,1001938,19
2021,5000456,19
2021,58360,19
2021,1454405,19
2021,123677,19
2021,68773,19
2021,1286800,19
2021,1404804,19
2021,1429880,19
2021,1150302,19
2021,1156021,19
2021,123677,19
2021,1158385,19
2021,1001938,19
2021,15862,19
2021,15207,19
2021,1180789,19
2021,49586,19
2021,65955,19
2021,114401,19
2021,1001938,19
2021,6568,19
2021,5000457,19
2021,60040,19
2021,1427577,19
2021,123578,19
2021,1388165,19
2021,1298977,19
2021,76937,19
2021,1497553,19
2021,1399304,19
2021,1260026,19
2021,1265877,19
2021,5000448,19
2021,5000457,19
2021,1001938,19
2021,123545,19
2021,52007,19
2021,47798,19
2021,1286800,19
2021,100305,19
2021,123526,19
2021,1485428,19
2021,1118107,19
2021,1286800,19
